Selection Result,Trial,Arena,Time bin,Velocity,Velocity,In zone,In zone,Zone alternation,Zone alternation,Zone alternation,Zone alternation,Distance moved 2,Acceleration,Acceleration
,,,,Center-point,Center-point,Inside / Center-point,Inside / Center-point,Center-point / Alternations,Center-point / Max alternations,Center-point / Direct revisits,Center-point / Indirect revisits,Center-point,Center-point,Center-point
,,,,Mean,Maximum,Frequency,Cumulative Duration,Frequency,Frequency,Frequency,Frequency,Total,Mean,Maximum
,,,,mm/s,mm/s,,s,,,,,mm,mm/s_,mm/s_
LD KO,Trial     5,C3,0:15:40-0:16:00,3.09603,100.893,1,0.12,0,0,0,0,61.9206,0.00608236,4001.34
LD KO,Trial     5,C3,0:16:00-0:16:20,4.9261,95.6498,2,3.18,0,0,0,0,98.5221,0.114153,3799.57
LD KO,Trial     5,C3,0:16:20-0:16:40,3.03834,110.093,0,0,0,0,0,0,60.6453,-0.265909,5254.72
LD KO,Trial     5,C3,0:16:40-0:17:00,3.45157,81.6371,0,0,0,0,0,0,68.8933,0.0598828,3829.56
LD KO,Trial     5,C3,0:17:00-0:17:20,4.46871,99.5707,7,7.44,0,0,0,0,89.3742,1.02291,3106.68
LD KO,Trial     5,C3,0:17:20-0:17:40,3.56737,104.863,4,10.06,0,0,0,0,71.3473,-1.02413,4921.34
LD KO,Trial     5,C3,0:17:40-0:18:00,3.54203,80.01,2,8.84,0,0,0,0,70.8405,0.146959,2398.11
LD KO,Trial     5,C3,0:18:00-0:18:20,2.72558,43.3502,1,0.02,0,0,0,0,54.5115,0.214628,1378.73
LD KO,Trial     5,C5,0:15:00-0:15:20,5.48563,156.074,7,0.26,0,0,0,0,109.713,-0.0434495,7015.72
LD KO,Trial     5,C5,0:15:20-0:15:40,5.33059,118.767,1,3.26,0,0,0,0,106.399,0.694573,5414.91
LD KO,Trial     5,C5,0:15:40-0:16:00,5.48084,47.1367,0,0,0,0,0,0,109.617,-0.0928717,1366.38
LD KO,Trial     5,C5,0:16:00-0:16:20,5.26595,92.0814,0,0,0,0,0,0,105.319,0.249618,3684.6
LD KO,Trial     5,C5,0:16:20-0:16:40,5.05795,53.3168,0,0,0,0,0,0,100.957,-0.0399789,1436.5
LD KO,Trial     5,C5,0:16:40-0:17:00,5.03477,109.167,1,3.66,0,0,0,0,100.494,-0.378391,5230.76
LD KO,Trial     5,C5,0:17:00-0:17:20,5.04353,83.9575,1,1.52,0,0,0,0,100.871,0.229992,3158.53
LD KO,Trial     5,C5,0:17:20-0:17:40,5.47396,47.3286,9,1.88,0,0,0,0,109.479,0.940899,1246.9
LD KO,Trial     5,C5,0:17:40-0:18:00,4.56047,31.6221,2,3.14,0,0,0,0,91.2095,-0.938233,1139.08
